county        ,population ,website                                 ,portal                                                                              ,type                          ,version     ,search_disabled ,site_down           ,captcha ,must_pay ,must_register ,notes                                                                                                                         ,scrape
Harris        ,   4731145 ,http://www.harriscountytx.gov/          ,https://jpodysseyportal.harriscountytx.gov/OdysseyPortalJP/                         ,odyssey                       ,2017.1.46.2 ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Dallas        ,   2613539 ,http://www.dallascounty.org/            ,https://courtsportal.dallascounty.org/DALLASPROD/                                   ,odyssey                       ,2017.1.46.2 ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Tarrant       ,   2110640 ,http://www.tarrantcounty.com/           ,https://odyssey.tarrantcounty.com/PublicAccess/                                     ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Bexar         ,   2009324 ,http://www.bexar.org/                   ,https://portal-txbexar.tylertech.cloud/Portal/                                      ,odyssey                       ,2017.1.35.6 ,                ,yes – maintenance   ,        ,         ,              ,                                                                                                                              ,no
Travis        ,   1290188 ,https://www.traviscountytx.gov/         ,https://odysseypa.traviscountytx.gov/JPPublicAccess/                                ,odyssey                       ,2011        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Collin        ,   1064465 ,http://www.collincountytx.gov/          ,https://cijspub.co.collin.tx.us/                                                    ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Denton        ,    906422 ,https://dentoncounty.gov/               ,https://justice1.dentoncounty.gov/PublicAccess/                                     ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Hidalgo       ,    870781 ,https://tx-hidalgocounty.civicplus.com/ ,https://pa.co.hidalgo.tx.us/                                                        ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
El Paso       ,    865657 ,http://www.epcounty.com/                ,https://casesearch.epcounty.com/PublicAccess/                                       ,odyssey                       ,2003        ,yes             ,                    ,        ,yes      ,              ,                                                                                                                              ,no
Fort Bend     ,    822779 ,http://www.fortbendcountytx.gov/        ,https://tylerpaw.fortbendcountytx.gov/PublicAccess/                                 ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Montgomery    ,    620443 ,http://www.mctx.org/                    ,http://odyssey.mctx.org/Unsecured/                                                  ,odyssey                       ,2011        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Williamson    ,    609017 ,http://www.wilco.org/                   ,https://judicialrecords.wilco.org/PublicAccess/                                     ,odyssey                       ,2003        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Cameron       ,    421017 ,http://www.co.cameron.tx.us/            ,https://portal.co.cameron.tx.us/portalprod/                                         ,odyssey                       ,2017.1.46.2 ,                ,                    ,yes     ,         ,              ,                                                                                                                              ,no
Brazoria      ,    372031 ,http://brazoriacountytx.gov/            ,https://pubweb.brazoriacountytx.gov/PublicAccess/                                   ,odyssey                       ,2011        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Bell          ,    370647 ,http://www.bellcountytx.com/            ,https://justice.bellcounty.texas.gov/PublicPortal/                                  ,odyssey                       ,2017.1.46.2 ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Nueces        ,    353178 ,http://www.co.nueces.tx.us/             ,https://portal-txnueces.tylertech.cloud/Portal/                                     ,odyssey                       ,2024        ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
Galveston     ,    350682 ,http://www.galvestoncountytx.gov/       ,https://portal.galvestoncountytx.gov/portal/                                        ,odyssey                       ,2017.1.46.2 ,                ,                    ,yes     ,         ,              ,                                                                                                                              ,no
Lubbock       ,    310639 ,http://www.co.lubbock.tx.us/            ,https://publicrecords.lubbockcounty.gov/Portal/                                     ,odyssey                       ,2017.1.40.0 ,                ,                    ,        ,         ,              ,                                                                                                                              ,no
